So Bao Danh,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,KHTN,Lich Su,Dia Ly,GDCD,KHXH
03000135,7.80,7.00,6.20,,,,,5.75,5.75,8.25,6.58
03000136,7.00,7.50,7.00,,,,,3.50,7.25,8.50,6.42
03000137,6.60,6.50,5.40,,,,,4.25,6.75,8.00,6.33
03000138,8.00,6.50,4.40,6.25,3.50,5.75,5.17,,,,
03000139,7.20,6.50,5.20,6.50,5.75,3.00,5.08,,,,
03000140,4.80,5.75,3.20,,,,,3.75,6.25,7.00,5.67
03000141,7.20,5.75,5.40,,,,,5.75,5.25,6.75,5.92
03000142,9.00,7.50,8.80,8.00,4.50,5.50,6.00,,,,
03000143,7.00,7.25,4.40,,,,,2.75,6.00,8.25,5.67
03000144,8.20,6.00,4.60,7.00,6.25,3.50,5.58,,,,
03000145,2.80,2.50,,,,,,2.75,4.00,,
03000146,7.20,7.00,6.20,,,,,3.75,7.25,9.00,6.67
03000147,8.00,7.75,7.00,7.25,4.25,3.75,5.08,,,,
03000148,7.00,7.50,3.20,,,,,3.00,6.50,8.50,6.00
03000149,7.80,8.25,8.40,,,,,6.75,7.75,8.75,7.75
03000150,7.80,6.50,8.40,6.50,8.00,4.00,6.17,,,,
03000151,6.40,8.00,4.80,,,,,6.50,6.50,9.50,7.50
03000152,6.80,8.00,3.80,,,,,6.25,7.25,8.75,7.42
03000153,4.60,6.50,4.00,,,,,3.25,6.00,8.00,5.75
03000154,5.00,5.00,,,,,,2.75,5.00,,
03000155,7.20,5.25,5.00,6.25,6.75,4.75,5.92,,,,
03000156,3.80,3.25,,,,,,2.75,6.00,,
03000157,7.40,6.50,4.80,8.00,6.25,3.50,5.92,,,,
03000159,9.40,7.25,8.40,7.75,8.50,6.00,7.42,,,,
03000160,8.20,5.25,2.60,5.50,6.25,3.75,5.17,,,,
03000161,8.20,5.50,3.80,7.75,8.25,4.50,6.83,,,,
03000162,6.80,7.25,7.00,,,,,3.00,6.00,8.00,5.67
03000163,6.40,6.00,,,,,,3.25,6.50,,
03000164,5.80,6.25,,,,,,4.50,6.50,,
03000165,4.60,6.00,3.60,,,,,4.50,7.25,8.50,6.75
03000166,8.00,4.75,4.20,6.75,4.75,3.25,4.92,,,,
03000167,6.40,7.00,5.60,,,,,2.50,6.00,9.00,5.83
03000168,6.80,7.00,7.00,,,,,4.75,6.50,8.50,6.58
03000169,5.00,5.50,6.40,3.50,6.25,4.75,4.83,,,,
03000170,6.80,6.50,6.60,,,,,8.00,7.50,8.50,8.00
03000171,8.80,8.25,9.00,,,,,7.25,8.50,9.25,8.33
03000172,5.80,6.50,3.00,,,,,4.00,4.50,7.25,5.25
03000173,6.40,7.50,3.60,,,,,5.25,7.00,8.25,6.83
03000174,6.80,5.75,4.60,,,,,3.50,6.25,9.00,6.25
03000175,8.80,,,,8.25,7.75,,,,,
03000176,5.80,7.00,4.60,,,,,6.00,7.50,9.50,7.67
03000177,4.60,3.25,,,,,,3.25,4.50,,
03000178,6.40,6.50,6.80,,,,,6.25,6.25,10.00,7.50
03000179,7.20,7.00,6.80,,,,,5.25,6.50,8.50,6.75
03000180,6.80,4.50,,,,,,3.25,7.00,,
03000181,7.20,6.50,5.60,4.50,6.00,5.25,5.25,,,,
03000182,6.20,6.50,3.20,,,,,5.50,7.00,8.75,7.08
03000183,4.60,2.50,,,,,,3.50,5.50,,
